ID,Prediction
3255__proceed_2__reconstruction_5,0.0
7707__model_17__predict_21,1.0
7932__sawed-off_14__struck_10,0.0
217__seek_4__knock_6,0.0
350__output_45__prolific_44,1.0
3255__reconstruction_5__assessment_8,0.0
275__half-way_4__house_5,1.0
7830__survivor_28__grizzled_27,0.5
3265__nature_4__manufactures_6,1.5
1127__drawing_18__look_20,0.0
2435__happen_7__Plan_11,0.5
269__reduced_22__rejection_10,0.0
5875__side-wall_3__moved_12,0.0
15565__calling_2__bastard_5,0.0
7676__current_42__[formula]_19,0.0
2329__hand_3__approach_11,0.0
211__causing_8__aim_6,1.0
10679__control_32__kept_28,0.0
7642__integrating_31__[formula]_42,0.0
3052__charity_18__raises_25,0.5
3248__ecology_28__accommodated_35,0.0
22__responsible_8__atmosphere_13,1.0
8002__addressed_38__considered_24,0.0
1826__physics_6__held_2,0.0
414__economies_7__mixed_6,1.0
205__Conference_4__throws_8,0.0
359__schools_9__links_6,0.5
3390__life_13__habits_14,0.5
3360__outline_6__elegant_5,2.0
3238__FOSSILS_2__BRINGING_1,0.0
7947__radio_9__pieced_3,0.0
5939__time_7__shivering_18,0.0
5884__manner_15__led_19,1.0
3389__active_8__swimmers_9,0.0
5944__gusty_13__shower_14,0.0
325__Ripping_1__minefields_5,0.0
67__exploited_53__situation_51,1.0
359__links_6__close_5,0.0
7771__windows_46__blaze_41,0.0
3285__surface_30__coming_18,0.0
256__morally_24__inferior_25,1.0
417__British_10__response_12,1.0
7734__lines_19__current_21,1.0
7798__history_6__gathering_9,0.0
7741__definition_4__resistance_6,0.0
40__providing_21__courses_26,0.0
7614__[formula]_13__satisfy_17,0.0
299__embarrassment_33__foray_26,0.0
434__people_11__overcome_18,0.0
1818__physics_9__kept_2,0.0
5927__stole_10__rubbish_11,0.0
390__material_36__produced_42,0.0
7643__line_32__integration_33,0.0
1422__services_12__links_8,0.5
205__machinery_14__spanner_10,0.5
3427__idea_2__habits_6,0.0
5967__gone_4__met_11,0.0
3417__reason_3__cope_7,0.0
10747__look_29__range_32,0.5
3261__scrutiny_48__stand_44,0.5
265__package_29__sell_26,2.0
7896__beginning_3__attract_5,0.0
6137__illusion_10__encouraging_4,1.5
330__real_13__meeting_14,0.0
7834__straw_21__caught_24,0.0
3240__reconstructions_15__founded_11,1.0
273__act_9__rest_13,1.0
3360__minaret_12__arab_11,0.0
6106__feel_14__sick_15,0.5
10560__mean_14__line_4,0.0
3407__feet_9__avoid_14,0.5
5944__shower_14__sheet_2,0.0
7843__cotton_35__glazed_34,1.0
3405__animal_21__pillar-_7,0.0
214__rebuilding_18__contemplate_4,0.0
268__motion_10__oppose_8,0.5
10302__shop_13__admitted_21,0.0
222__antagonise_20__override_6,0.0
1441__conclusion_11__drew_7,1.0
3298__inhabit_8__column_11,0.5
3263__structure_24__perform_26,1.5
356__head_15__buried_16,0.0
210__department_3__escapes_6,1.0
7899__remembered_2__-gold_8,0.0
1830__hair_6__Apart_1,0.0
279__ears_3__bending_2,2.0
212__departments_2__designed_13,1.0
57__immunities_19__emphasis_16,1.0
7679__direction_18__field_21,0.5
7618__[formula]_30__form_29,0.5
6027__able_5__assembled_9,0.0
1820__stroke_22__felled_19,3.0
1140__light_37__flooding_33,2.0
10428__live_5__stroke_8,0.0
1820__car_5__call_7,1.5
3385__occurs_37__found_15,0.0
7662__steady_13__currents_14,0.5
224__remit_2__intrusion_5,0.0
22__life_19__gripped_16,2.0
1151__skate_25__goggle-eyed_24,2.0
415__reluctance_14__makes_24,0.5
7624__gradient_7__function_11,0.5
48__commitment_8__scoop_15,0.0
2402__power_5__drunk_6,2.0
6006__papers_28__tells_26,1.0
256__compromise_35__obliged_32,0.0
10603__time_10__gone_7,0.5
7843__taffeta_21__gone_23,0.5
7717__calculating_14__forces_16,0.0
44__Employers_1__release_6,0.0
1432__feel_35__change_37,0.5
6049__time_3__rallied_6,0.0
7656__magnetometer_30__based_35,0.0
212__act_15__designed_13,2.0
7714__attraction_22__virtue_18,0.5
7665__magnetostatics_6__concerned_4,0.5
3242__changed_8__habits_10,0.5
7866__black_15__fur_16,0.0
7630__eqn_15__potential_12,0.0
7642__obtained_29__integrating_31,0.0
2399__continued_6__rising_9,0.0
7765__apple_38__gold_37,1.0
7945__own_18__brought_3,0.0
45__reduce_31__goals_9,0.0
7825__corridors_37__repeated_33,0.0
3250__measure_21__stride_23,1.0
5887__privately_14__considering_15,0.5
7906__nightmare_29__oppressed_26,2.5
289__self-destruct_22__Loaded_2,0.0
212__system_24__act_15,0.0
265__policy_28__package_29,1.0
7619__[formula]_24__gauge_22,0.0
7693__carriers_20__charge_19,1.0
15021__chicken_3__little_2,0.0
7639__[formula]_18__leading_16,1.0
58__labour_17__system_19,0.0
2178__headaches_3__taking_12,0.5
7889__told_2__veiled_14,0.0
379__telecottages_18__setting_15,0.0
301__host_30__circuit_28,0.0
3340__nodule_9__preserved_12,0.5
7934__rose_30__smile_26,0.0
1129__recently_4__hands_3,0.0
3419__dinosaurs_5__posture_2,0.0
7931__view_10__shuts_7,1.0
5900__begun_5__hunting_6,0.0
7639__leading_16__[formula]_18,0.5
2806__inspectorate_15__regulate_21,0.0
7636__strength_33__[formula]_35,1.0
14658__straight_31__cut_30,0.0
217__tradition_13__keystone_9,2.0
7673__velocity_32__travel_30,0.0
1431__tribute_3__pays_2,0.5
3296__arthropods_25__look_22,0.0
7682__[formula_9__derived_13,0.0
2311__emotional_6__somersaults_7,2.5
7697__field_3__strength_4,1.0
7639__operates_4__curl_3,0.5
267__unilateral_11__recommending_4,0.0
57__immunities_19__reduce_14,0.0
6056__lying_18__low_19,1.0
2411__miserably_14__added_13,0.5
3063__crop_25__lost_23,0.5
7867__little_9__painter_12,0.0
7979__makes_2__wild_4,0.5
6004__gut_29__swimming_20,0.0
268__nuclear_28__power_29,0.5
7698__particle_28__positive_27,1.0
320__leads_19__diminishing_22,0.5
7709__instability_40__leading_35,1.0
7939__cultural_29__parallels_30,2.0
2807__hen_9__controls_18,0.0
10387__people_19__strokes_16,0.0
7664__magnetic_26__fields_27,1.0
7898__mind_3__elsewhere_5,2.0
359__couple_2__links_6,0.0
204__conditions_40__fair_42,1.0
7618__A.6_22__obtain_26,0.0
7654__basic_36__quantity_37,0.0
7673__beam_11__section_4,0.0
14630__week_7__following_6,0.5
1446__programme_6__shine_10,0.5
7676__component_51__[formula]_19,0.0
10368__pay_20__rise_30,0.5
3055__corrected_14__quickly_13,0.0
239__merge_7__replace_12,0.0
6055__fear_4__communicated_8,1.0
7958__descended_4__winged_10,0.0
1120__church_27__looking_22,0.0
5851__mutter_16__soft_15,1.5
3285__lens_12__able_14,1.0
2236__location_2__overlooking_3,1.0
7722__electric_21__field_22,1.0
5962__trees_28__squatted_29,3.0
322__institution_30__home_34,1.0
7825__versions_21__faded_18,0.0
7691__example_8__brings_3,1.0
7606__charged_21__role_14,0.0
3267__streamlining_32__swimmers_29,0.0
1427__slowly_9__dissolve_10,0.0
3338__length_16__attain_14,0.5
15522__drink_5__Throw_2,1.5
7900__frame_21__hard_20,0.5
7953__blows_10__wild_9,1.0
1812__ship_15__waiting_16,1.5
7741__trouble_23__worth_21,1.0
7682__following_21__formula_22,0.5
7656__engineers_47__lose_50,0.0
3413__terrestrial_20__balance_2,0.0
1446__light_11__shine_10,0.5
10569__sort_4__line_3,0.0
7707__behaviour_24__predict_21,0.0
7613__potential_11__function_12,0.0
1137__deeply_5__moving_6,1.0
7639__vector_24__[formula]_18,0.0
5910__sale_13__hung_19,2.0
2803__lure_10__forebears_16,0.0
340__argue_4__stand_16,0.0
7769__light_22__source_20,0.5
5960__drift_2__tunnel_6,1.0
7679__field_21__[formula_23,0.0
327__fives_15__under-_14,1.5
321__name_9__change_10,0.5
5954__raft_15__float_12,0.0
7709__constricted_31__leading_35,0.5
3427__habits_6__giants_10,0.0
7716__contract_8__tries_6,0.0
0__laid-back_5__approach_6,0.5
207__implications_23__plans_26,0.0
3265__nature_4__designs_8,0.0
7613__analogue_8__function_12,0.0
7958__Nuns_1__winged_10,0.0
1129__hands_3__changed_2,1.0
7817__skin_11__dazzled_7,2.0
335__wry_9__saved_4,0.0
7956__fist_7__shaken_4,1.0
7749__morning_41__grey_40,2.0
7766__idea_31__stripped_37,2.0
6003__glowing_56__butt_57,1.0
3427__life_5__habits_6,0.0
1131__floodlit_13__pale_45,0.0
41__objective_7__achieve_5,0.0
0__reveals_4__approach_6,0.5
264__win_15__position_13,1.0
338__book_28__world_29,1.0
7689__magnetic_14__fields_15,1.0
7617__equation_36__defined_33,0.5
1122__months_16__couple_14,0.5
7731__flow_43__lines_40,0.5
7779__feels_48__youth_50,1.5
270__rollers_9__ahead_26,0.0
2322__European_10__headquarters_11,0.0
250__undemocratic_39__power_40,0.5
7769__lay_2__coiled_3,0.0
3240__World_19__reconstructions_15,1.0
10751__seventies_12__hell_5,0.0
276__evening_6__comfortable_5,1.0
7660__rewritten_44__follows_52,0.0
7614__satisfy_17__[formula]_13,0.0
7634__law_14__deriving_11,0.5
7939__names_10__appeared_20,1.0
7656__sleep_52__lose_50,1.0
229__policy_11__leave_3,0.0
239__bodies_14__replace_12,0.0
5888__indeed_13__justified_8,0.0
40__youngsters_19__brighter_18,1.0
3059__insists_24__hangover_29,0.0
10747__range_32__look_29,0.0
7934__contrasts_11__considered_14,0.0
7713__ions_9__force_6,0.0
7984__regular_31__clockwork_33,0.0
224__brief_14__watching_13,0.5
2199__tease_17__depression_25,0.0
7640__law_5__derived_6,1.0
12629__sod_3__little_2,2.5
7606__role_14__current_19,0.0
217__approach_2__seek_4,1.5
320__diminishing_22__leads_19,0.5
7964__mind_43__light_40,2.0
3413__idea_13__habits_21,0.0
2220__industrial_12__address_6,0.0
435__communities_9__strengthening_7,1.5
3426__rhinoceroses_21__reptilian_20,0.0
270__ahead_26__rollers_9,0.0
2396__added_17__sourly_18,2.0
3245__reveal_4__shown_14,0.0
7737__field_3__[formula_6,0.5
7881__print_17__skimming_13,1.5
334__tales_27__characters_24,0.0
259__giving_19__power_20,1.0
