0__unbundler_3__reveals_4	a1e-fragment01	nsubj	reveals	VBZ	unbundler	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 
0__approach_6__reveals_4	a1e-fragment01	dobj	reveals	VBZ	approach	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 
0__reveals_4__approach_6	a1e-fragment01	dobj	reveals	VBZ	approach	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 
0__laid-back_5__approach_6	a1e-fragment01	amod	approach	NN	laid-back	JJ	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 
0__bid_18__leading_13	a1e-fragment01	dobj	leading	VBG	bid	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 
2__error_20__fatal_19	a1e-fragment01	amod	error	NN	fatal	JJ	IT SEEMS that Roland Franklin , the latest unbundler to appear in the UK , has made a fatal error in the preparation of his £697m break-up bid for stationery and packaging group DRG . 
3__facilities_10__target_7	a1e-fragment01	nmod:poss	facilities	NNS	target	NN	He has not properly investigated the target 's dining facilities . 
4__63-year-old_2__head_3	a1e-fragment01	amod	head	NN	63-year-old	JJ	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 
4__mounted_14__head_3	a1e-fragment01	acl:relcl	head	NN	mounted	VBN	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 
4__head_3__mounted_14	a1e-fragment01	acl:relcl	head	NN	mounted	VBN	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 
4__bid_11__mounted_14	a1e-fragment01	nsubjpass	mounted	VBN	bid	NN	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 
4__inefficient_37__headquarters_33	a1e-fragment01	subj-obj	headquarters	NN	inefficient	JJ	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 
5__canteen_22__modest_20	a1e-fragment01	amod	canteen	NN	modest	JJ	If he had taken his own rule seriously , he would have found out that DRG has a very modest self-service canteen at its Bristol head office . 
5__office_27__modest_20	a1e-fragment01	reln-obj	modest	JJ	office	NN	If he had taken his own rule seriously , he would have found out that DRG has a very modest self-service canteen at its Bristol head office . 
5__office_27__head_26	a1e-fragment01	compound	office	NN	head	NN	If he had taken his own rule seriously , he would have found out that DRG has a very modest self-service canteen at its Bristol head office . 
6__own_10__admission_11	a1e-fragment01	amod	admission	NN	own	JJ	There are other things he has , on his own admission , not fully investigated , like the value of the DRG properties , or which part of the DRG business he would keep after the break up . 
7__bid_3__launched_5	a1e-fragment01	nsubjpass	launched	VBN	bid	NN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
7__week_7__launched_5	a1e-fragment01	nmod:tmod	launched	VBN	week	NN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
7__faced_11__launched_5	a1e-fragment01	advcl	faced	VBD	launched	VBN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
7__commentators_16__faced_11	a1e-fragment01	nmod	faced	VBD	commentators	NNS	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
7__launched_5__faced_11	a1e-fragment01	advcl	faced	VBD	launched	VBN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
7__criticism_13__faced_11	a1e-fragment01	dobj	faced	VBD	criticism	NN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
7__commentators_16__counts_20	a1e-fragment01	nmod	commentators	NNS	counts	NNS	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 
8__charges_4__regards_2	a1e-fragment01	dobj	regards	VBZ	charges	NNS	He regards the charges as unfounded . 
8__unfounded_6__regards_2	a1e-fragment01	advcl	regards	VBZ	unfounded	JJ	He regards the charges as unfounded . 
8__regards_2__charges_4	a1e-fragment01	dobj	regards	VBZ	charges	NNS	He regards the charges as unfounded . 
8__unfounded_6__charges_4	a1e-fragment01	reln-obj	charges	NNS	unfounded	JJ	He regards the charges as unfounded . 
9__property_2__blunt_6	a1e-fragment01	nmod	blunt	JJ	property	NN	On property , he is blunt . 
10__profits_7__regard_5	a1e-fragment01	dobj	regard	VB	profits	NNS	‘ I do not regard property profits as earnings . 
10__earnings_9__regard_5	a1e-fragment01	nmod	regard	VB	earnings	NNS	‘ I do not regard property profits as earnings . 
21__attractive_11__found_6	a1e-fragment01	xcomp	found	VBD	attractive	JJ	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 
21__found_6__attractive_11	a1e-fragment01	xcomp	found	VBD	attractive	JJ	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 
21__corporations_22__breaking_16	a1e-fragment01	dobj	breaking	VBG	corporations	NNS	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 
21__fairly_19__hefty_20	a1e-fragment01	advmod	hefty	JJ	fairly	RB	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 
21__corporations_22__hefty_20	a1e-fragment01	amod	corporations	NNS	hefty	JJ	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 
22__rejects_2__charges_3	a1e-fragment01	dobj	rejects	VBZ	charges	NNS	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 
22__atmosphere_13__casino_12	a1e-fragment01	compound	atmosphere	NN	casino	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 
22__responsible_8__atmosphere_13	a1e-fragment01	nmod	responsible	JJ	atmosphere	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 
22__casino_12__atmosphere_13	a1e-fragment01	compound	atmosphere	NN	casino	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 
22__partly_7__atmosphere_13	a1e-fragment01	reln-obj	partly	RB	atmosphere	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 
22__life_19__gripped_16	a1e-fragment01	dobj	gripped	VBD	life	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 
