0__unbundler_3__reveals_4	a1e-fragment01	nsubj	VBZ	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 	1.0
0__approach_6__reveals_4	a1e-fragment01	dobj	VBZ	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 	1.0
0__reveals_4__approach_6	a1e-fragment01	dobj	NN	VBZ	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 	0.5
0__laid-back_5__approach_6	a1e-fragment01	amod	NN	JJ	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 	0.5
0__bid_18__leading_13	a1e-fragment01	dobj	VBG	NN	Latest corporate unbundler reveals laid-back approach : Roland Franklin , who is leading a 697m pound break-up bid for DRG , talks to Frank Kane 	0.5
2__error_20__fatal_19	a1e-fragment01	amod	JJ	NN	IT SEEMS that Roland Franklin , the latest unbundler to appear in the UK , has made a fatal error in the preparation of his £697m break-up bid for stationery and packaging group DRG . 	1.0
3__facilities_10__target_7	a1e-fragment01	nmod:poss	NN	NNS	He has not properly investigated the target 's dining facilities . 	0.5
4__63-year-old_2__head_3	a1e-fragment01	amod	NN	JJ	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 	1.0
4__mounted_14__head_3	a1e-fragment01	acl:relcl	NN	VBN	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 	0.0
4__head_3__mounted_14	a1e-fragment01	acl:relcl	VBN	NN	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 	0.0
4__bid_11__mounted_14	a1e-fragment01	nsubjpass	VBN	NN	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 	0.5
4__inefficient_37__headquarters_33	a1e-fragment01	subj-obj	NN	JJ	The 63-year-old head of Pembridge Investments , through which the bid is being mounted says , ‘ rule number one in this business is : the more luxurious the luncheon rooms at headquarters , the more inefficient the business ’ . 	0.0
5__canteen_22__modest_20	a1e-fragment01	amod	JJ	NN	If he had taken his own rule seriously , he would have found out that DRG has a very modest self-service canteen at its Bristol head office . 	0.5
5__office_27__modest_20	a1e-fragment01	reln-obj	JJ	NN	If he had taken his own rule seriously , he would have found out that DRG has a very modest self-service canteen at its Bristol head office . 	0.0
5__office_27__head_26	a1e-fragment01	compound	NN	NN	If he had taken his own rule seriously , he would have found out that DRG has a very modest self-service canteen at its Bristol head office . 	2.0
6__own_10__admission_11	a1e-fragment01	amod	NN	JJ	There are other things he has , on his own admission , not fully investigated , like the value of the DRG properties , or which part of the DRG business he would keep after the break up . 	0.5
7__bid_3__launched_5	a1e-fragment01	nsubjpass	VBN	NN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	1.0
7__week_7__launched_5	a1e-fragment01	nmod:tmod	VBN	NN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	0.0
7__faced_11__launched_5	a1e-fragment01	advcl	VBN	VBD	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	0.0
7__commentators_16__faced_11	a1e-fragment01	nmod	VBD	NNS	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	0.0
7__launched_5__faced_11	a1e-fragment01	advcl	VBD	VBN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	0.0
7__criticism_13__faced_11	a1e-fragment01	dobj	VBD	NN	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	1.0
7__commentators_16__counts_20	a1e-fragment01	nmod	NNS	NNS	When the bid was launched last week , Mr Franklin faced some criticism from City commentators on both those counts . 	0.0
8__charges_4__regards_2	a1e-fragment01	dobj	VBZ	NNS	He regards the charges as unfounded . 	0.5
8__unfounded_6__regards_2	a1e-fragment01	advcl	VBZ	JJ	He regards the charges as unfounded . 	0.0
8__regards_2__charges_4	a1e-fragment01	dobj	NNS	VBZ	He regards the charges as unfounded . 	0.5
8__unfounded_6__charges_4	a1e-fragment01	reln-obj	NNS	JJ	He regards the charges as unfounded . 	0.0
9__property_2__blunt_6	a1e-fragment01	nmod	JJ	NN	On property , he is blunt . 	0.0
10__profits_7__regard_5	a1e-fragment01	dobj	VB	NNS	‘ I do not regard property profits as earnings . 	1.0
10__earnings_9__regard_5	a1e-fragment01	nmod	VB	NNS	‘ I do not regard property profits as earnings . 	1.0
21__attractive_11__found_6	a1e-fragment01	xcomp	VBD	JJ	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 	0.5
21__found_6__attractive_11	a1e-fragment01	xcomp	JJ	VBD	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 	0.0
21__corporations_22__breaking_16	a1e-fragment01	dobj	VBG	NNS	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 	1.0
21__fairly_19__hefty_20	a1e-fragment01	advmod	JJ	RB	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 	0.5
21__corporations_22__hefty_20	a1e-fragment01	amod	JJ	NNS	Along with Sir James he found the US much more attractive , taking over and breaking up some fairly hefty US corporations . 	1.5
22__rejects_2__charges_3	a1e-fragment01	dobj	NNS	VBZ	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	1.0
22__atmosphere_13__casino_12	a1e-fragment01	compound	NN	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	1.5
22__responsible_8__atmosphere_13	a1e-fragment01	nmod	NN	JJ	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	1.0
22__casino_12__atmosphere_13	a1e-fragment01	compound	NN	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	1.5
22__partly_7__atmosphere_13	a1e-fragment01	reln-obj	NN	RB	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	0.0
22__life_19__gripped_16	a1e-fragment01	dobj	VBD	NN	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	2.0
22__gripped_16__life_19	a1e-fragment01	dobj	NN	VBD	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	3.0
22__corporate_18__life_19	a1e-fragment01	amod	NN	JJ	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life in the early 1980s . 	1.0
23__money_14__lost_12	a1e-fragment01	dobj	VBD	NN	‘ We stirred it up , yes , but we never lost any money for anybody and we never added to the unemployment figures . ’ 	0.5
23__figures_24__added_20	a1e-fragment01	nmod	VBD	NNS	‘ We stirred it up , yes , but we never lost any money for anybody and we never added to the unemployment figures . ’ 	0.5
26__DRG_8__makes_9	a1e-fragment01	nsubj	VBZ	NN	It does not matter whether or not DRG makes sellotape or Basildon Bond — it 's of no consequence to anybody if somebody else makes them . ’ 	0.0
28__campaign_4__seen_8	a1e-fragment01	acl:relcl	VBN	NN	In a takeover campaign that has already seen vitriolic language , he responds to the charge that he is mounting the bid to enrich himself and his friends by saying : ‘ Nobody could take that as a criticism — this is an investor group . 	0.5
28__language_10__seen_8	a1e-fragment01	dobj	VBN	NN	In a takeover campaign that has already seen vitriolic language , he responds to the charge that he is mounting the bid to enrich himself and his friends by saying : ‘ Nobody could take that as a criticism — this is an investor group . 	0.5
28__responds_13__charge_16	a1e-fragment01	nmod	NN	VBZ	In a takeover campaign that has already seen vitriolic language , he responds to the charge that he is mounting the bid to enrich himself and his friends by saying : ‘ Nobody could take that as a criticism — this is an investor group . 	1.0
28__bid_22__mounting_20	a1e-fragment01	dobj	VBG	NN	In a takeover campaign that has already seen vitriolic language , he responds to the charge that he is mounting the bid to enrich himself and his friends by saying : ‘ Nobody could take that as a criticism — this is an investor group . 	1.0
32__majority_14__hold_21	a1f-fragment06	nsubj	VBP	NN	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	0.0
32__course_34__appears_47	a1f-fragment06	nmod	VBZ	NN	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	0.0
32__ignored_53__appears_47	a1f-fragment06	xcomp	VBZ	VBN	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	1.0
32__victory_39__appears_47	a1f-fragment06	nmod	VBZ	NN	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	0.0
32__significance_44__appears_47	a1f-fragment06	nsubj	VBZ	NN	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	1.0
32__latter_30__appears_47	a1f-fragment06	nsubj	VBZ	JJ	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	0.0
32__referring_31__appears_47	a1f-fragment06	dep	VBZ	VBG	Sir : I was interested by your juxtaposition of ‘ Poll predicts 42-seat majority for Labour ’ with ‘ Tories hold on ’ ( 30 September ) , the latter referring , of course , to the Conservative victory in Wandsworth , the significance of which appears to have been almost totally ignored by the media . 	0.0
33__Electors_1__prepared_4	a1f-fragment07	nsubjpass	VBN	NNS	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.0
33__criticise_6__prepared_4	a1f-fragment07	xcomp	VBN	VB	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.0
33__booth_25__bring_30	a1f-fragment07	acl:relcl	VB	NN	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.0
33__vote_33__bring_30	a1f-fragment07	xcomp	VB	VB	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.5
33__simply_27__bring_30	a1f-fragment07	advmod	VB	RB	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.0
33__themselves_31__bring_30	a1f-fragment07	dobj	VB	PRP	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.5
33__vote_33__power_36	a1f-fragment07	nmod	NN	VB	Electors are always prepared to criticise the Government in answer to pollsters ' questions , but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power . 	0.0
36__significant_5__gap_6	a1f-fragment07	amod	NN	JJ	Sir : Despite a significant gap in the Labour Party 's education and training proposals , their objective to double the number of 16-18year-olds in full-time education must be welcomed ( 28 September ) . 	2.0
36__education_12__gap_6	a1f-fragment07	nmod	NN	NN	Sir : Despite a significant gap in the Labour Party 's education and training proposals , their objective to double the number of 16-18year-olds in full-time education must be welcomed ( 28 September ) . 	1.0
36__proposals_15__gap_6	a1f-fragment07	nmod	NN	NNS	Sir : Despite a significant gap in the Labour Party 's education and training proposals , their objective to double the number of 16-18year-olds in full-time education must be welcomed ( 28 September ) . 	1.0
36__double_20__gap_6	a1f-fragment07	subj-obj	NN	VB	Sir : Despite a significant gap in the Labour Party 's education and training proposals , their objective to double the number of 16-18year-olds in full-time education must be welcomed ( 28 September ) . 	0.0
37__staying-_4__stands_7	a1f-fragment07	nmod	NNS	NN	England 's full-time staying- on rate stands at 28 per cent according to the latest statistics available . 	0.0
37__rate_6__stands_7	a1f-fragment07	compound	NNS	NN	England 's full-time staying- on rate stands at 28 per cent according to the latest statistics available . 	1.5
39__education_5__add_2	a1f-fragment07	dobj	VB	NN	To add the part-time education and training statistics to those figures does not improve our relative position . 	1.0
39__statistics_8__add_2	a1f-fragment07	dobj	VB	NNS	To add the part-time education and training statistics to those figures does not improve our relative position . 	1.0
39__figures_11__add_2	a1f-fragment07	nmod	VB	NNS	To add the part-time education and training statistics to those figures does not improve our relative position . 	0.0
39__improve_14__add_2	a1f-fragment07	csubj	VB	VB	To add the part-time education and training statistics to those figures does not improve our relative position . 	0.0
39__position_17__add_2	a1f-fragment07	reln-subj	VB	NN	To add the part-time education and training statistics to those figures does not improve our relative position . 	0.0
39__improve_14__position_17	a1f-fragment07	dobj	NN	VB	To add the part-time education and training statistics to those figures does not improve our relative position . 	1.0
39__relative_16__position_17	a1f-fragment07	amod	NN	JJ	To add the part-time education and training statistics to those figures does not improve our relative position . 	1.0
39__add_2__position_17	a1f-fragment07	reln-subj	NN	VB	To add the part-time education and training statistics to those figures does not improve our relative position . 	0.0
39__education_5__position_17	a1f-fragment07	subj-obj	NN	NN	To add the part-time education and training statistics to those figures does not improve our relative position . 	0.0
40__transform_4__hopes_2	a1f-fragment07	xcomp	VBZ	VB	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	1.0
40__transform_4__situation_6	a1f-fragment07	dobj	NN	VB	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	1.0
40__A-_12__levels_13	a1f-fragment07	compound	NNS	NN	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	0.5
40__youngsters_19__brighter_18	a1f-fragment07	amod	JJR	NNS	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	1.0
40__grants_22__courses_26	a1f-fragment07	nmod	NNS	NNS	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	0.5
40__four-year_24__courses_26	a1f-fragment07	amod	NNS	JJ	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	0.0
40__training_25__courses_26	a1f-fragment07	compound	NNS	NN	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	0.0
40__providing_21__courses_26	a1f-fragment07	subj-obj	NNS	VBG	Labour hopes to transform the situation by increasing the number of A- levels to five for the brighter youngsters and providing grants for four-year training courses ( two years in a Further Education college followed by two with an employer ) for the rest . 	0.0
41__reforms_2__achieve_5	a1f-fragment07	nsubj	VB	NNS	These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18 . 	1.0
41__objective_7__achieve_5	a1f-fragment07	dobj	VB	NN	These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18 . 	0.0
41__accompanied_9__achieve_5	a1f-fragment07	advcl	VB	VBN	These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18 . 	0.0
41__achieve_5__accompanied_9	a1f-fragment07	advcl	VBN	VB	These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18 . 	0.0
41__implementation_12__accompanied_9	a1f-fragment07	nmod	VBN	NN	These reforms will only achieve their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18 . 	0.5
42__clause_2__activated_7	a1f-fragment07	nsubjpass	VBN	NN	This clause has never yet been activated . 	1.0
43__inevitably_8__lead_9	a1f-fragment07	advmod	VB	RB	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi- skilled jobs . 	0.0
43__employers_10__lead_9	a1f-fragment07	dobj	VB	NNS	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi- skilled jobs . 	0.0
